Date;Purchase/Sell price;Quantity
05/nov/21;€ 129,07;0,253741
05/nov/21;€ 129,07;0,250952
06/out/21;€ 115,35;0,290241
06/out/21;€ 115,35;0,275677
06/set/21;€ 127,27;0,268409
06/set/21;€ 127,27;0,254973
05/ago/21;€ 125,08;0,276056
05/ago/21;€ 125,08;0,262305
06/jul/21;€ 119,83;0,296328
06/jul/21;€ 119,83;0,281474
07/jun/21;€ 115,18;0,285023
07/jun/21;€ 115,18;0,270785
19/mai/21;€ 111,93;0,110298
06/mai/21;€ 116,21;0,279317
06/mai/21;€ 116,21;0,26529
08/abr/21;€ 110,87;0,277448
08/abr/21;€ 110,87;0,258777
03/mar/21;€ 102,72;0,30287
03/mar/21;€ 102,72;0,282523
04/fev/21;€ 109,79;0,283721
04/fev/21;€ 109,79;0,264594
06/jan/21;€ 105,16;0,258654
06/jan/21;€ 105,16;0,288513
08/dez/20;€ 101,26;0,570108
09/nov/20;€ 100,87;0,519668
09/out/20;€ 132,58;0,403157
09/set/20;€ 135,40;0,404355
07/ago/20;€ 136,78;0,423243
09/jul/20;€ 138,35;0,419152
09/jun/20;€ 120,94;0,491249
05/jun/20;€ 115,61;0,030619
07/mai/20;€ 107,61;0,562425
09/abr/20;€ 107,61;0,577845
06/mar/20;€ 107,18;0,671676
07/fev/20;€ 124,23;0,605015
09/jan/20;€ 122,93;0,627675
