Date,Close_Stock(EUR),Close_EUR,Close_Stock(BRL)
2016-01-04,70.580002,4.2891,302.7246865782
2016-01-05,71.43,4.371,312.22053000000005
2016-01-06,72.050003,4.3301,311.9837179903
2016-01-07,71.339996,4.3322,309.0591306712
2016-01-08,71.050003,4.4145,313.65023824350004
2016-01-11,71.599998,4.3626,312.36215127479994
2016-01-12,74.25,4.3967,326.454975
2016-01-13,73.730003,4.3641,321.76510609229996
2016-01-14,73.029999,4.3693,319.0899746307
2016-01-15,70.68,4.3488,307.37318400000004
2016-01-18,71.220001,4.3697,311.2100383697
2016-01-19,72.290001,4.4142,319.10252241420005
2016-01-20,70.959999,4.4275,314.1753955725
2016-01-21,71.709999,4.4607,319.87679253929997
2016-01-22,72.0,4.5105,324.75600000000003
2016-01-25,72.68,4.4406,322.742808
2016-01-26,72.489998,4.4349,321.4858921302
2016-01-27,73.379997,4.4195,324.30289674150004
2016-01-28,71.010002,4.4778,317.9685869556
2016-01-29,73.190002,4.4469,325.46861989380005
2016-02-01,73.190002,4.4312,324.3195368624
2016-02-02,71.790001,4.3149,309.7666753149
2016-02-03,70.849998,4.352,308.339191296
2016-02-04,69.900002,4.3166,301.73034863320004
2016-02-05,67.959999,4.3522,295.7755076478
2016-02-08,65.980003,4.3511,287.0855910533
2016-02-09,66.379997,4.3543,289.03842093710006
2016-02-10,67.059998,4.3812,293.80326323759994
2016-02-11,64.900002,4.4291,287.4485988582
2016-02-12,65.290001,4.512,294.588484512
2016-02-15,67.139999,4.4662,299.8606635338
2016-02-16,67.160004,4.4644,299.8291218576
2016-02-17,68.599998,4.5283,310.6413709434
2016-02-18,69.25,4.4268,306.5559
2016-02-19,69.580002,4.4709,311.0852309418
2016-02-22,70.5,4.4736,315.3888
2016-02-23,69.940002,4.3483,304.1201106966
2016-02-24,68.0,4.3579,296.3372
2016-02-25,69.910004,4.3558,304.5139954232
2016-02-26,70.239998,4.3568,306.0216232864
2016-02-29,69.940002,4.3335,303.08499866700004
2016-03-01,71.129997,4.3684,310.7242788948
2016-03-02,71.169998,4.2656,303.58274346880006
2016-03-03,69.559998,4.2269,294.0231555462
2016-03-04,69.889999,4.156,290.462835844
2016-03-07,69.57,4.1483,288.59723099999997
2016-03-08,69.379997,4.1653,288.98850150410004
2016-03-09,69.769997,4.1276,287.98263961720005
2016-03-10,68.620003,4.04,277.22481211999997
2016-03-11,69.970001,4.0395,282.6438190395
2016-03-14,71.07,3.9814,282.95809799999995
2016-03-15,71.25,4.0591,289.210875
2016-03-16,71.519997,4.1786,298.85345946420006
2016-03-17,70.580002,4.1917,295.8501943834
2016-03-18,71.029999,4.097,291.00990590300006
2016-03-21,70.699997,4.0809,288.51961775729995
2016-03-22,71.07,4.0593,288.49445099999997
2016-03-23,71.449997,4.0155,286.9074629535
2016-03-24,70.839996,4.1143,291.45699554280003
2016-03-29,70.830002,4.1126,291.29546622519996
2016-03-30,71.160004,4.1033,291.9908444132
2016-03-31,71.099998,4.0764,289.83203184719997
2016-04-01,70.07,4.0809,285.94866299999995
2016-04-04,70.040001,4.0457,283.3608320457
2016-04-05,68.779999,4.1191,283.31169388090007
2016-04-06,69.120003,4.182,289.059852546
2016-04-07,68.190002,4.1468,282.77030029360003
2016-04-08,67.510002,4.1877,282.7116353754
2016-04-11,67.419998,4.0873,275.5657578254
2016-04-12,68.449997,3.9818,272.55419805459996
2016-04-13,69.379997,3.9646,275.0639361062
2016-04-14,69.959999,3.9398,275.62840406019995
2016-04-15,69.699997,3.9121,272.6733582637
2016-04-18,70.050003,3.9814,278.8970819442
2016-04-19,71.029999,4.0819,289.93735291810003
2016-04-20,71.089996,4.0044,284.6727799824
2016-04-21,71.110001,3.9836,283.2737999836
2016-04-22,71.239998,3.9796,283.5066960408
2016-04-25,70.800003,3.9987,283.1079719961
2016-04-26,70.230003,4.0009,280.98321900269997
2016-04-27,71.120003,3.9766,282.8158039298
2016-04-28,70.639999,3.9886,281.7547000114
2016-04-29,68.32,3.9513,269.952816
2016-05-02,68.919998,3.9297,270.8349161406
2016-05-03,67.989998,4.0293,273.9520989414
2016-05-04,67.300003,4.089,275.18971226700006
2016-05-05,67.580002,4.0744,275.3479601488
2016-05-06,67.370003,4.0293,271.4539530879
2016-05-09,68.830002,3.9902,274.64547398039997
2016-05-10,68.800003,4.0001,275.2068920003
2016-05-11,68.18,3.9482,269.18827600000003
2016-05-12,68.5,3.9388,269.8078
2016-05-13,68.489998,3.955,270.87794209
2016-05-17,68.220001,3.9538,269.7282399538
2016-05-18,68.949997,3.9444,271.96636816679995
2016-05-19,68.510002,3.9925,273.526182985
2016-05-20,69.440002,3.9893,277.01699997860004
2016-05-23,69.75,3.9924,278.4699
2016-05-24,71.330002,3.9989,285.24154499779996
2016-05-25,72.099998,3.9724,286.4100320552
2016-05-26,72.620003,3.9909,289.81916997269997
2016-05-27,72.769997,4.0091,291.7421949727
2016-05-30,72.93,4.0102,292.46388600000006
2016-05-31,72.959999,3.9766,290.13273202339997
2016-06-01,72.620003,3.9894,289.71023996819997
2016-06-02,72.160004,4.0168,289.8523040672
2016-06-03,71.559998,3.9918,285.6532000164
2016-06-06,71.470001,4.0061,286.31597100609997
2016-06-07,72.370003,3.9591,286.52007887729997
2016-06-08,71.699997,3.9008,279.68734829759995
2016-06-09,71.330002,3.8291,273.1297106582
2016-06-10,69.660004,3.8428,267.6894633712
2016-06-13,68.190002,3.8435,262.088272687
2016-06-14,67.349998,3.9252,264.3622121496
2016-06-15,67.68,3.8965,263.71512
2016-06-16,67.330002,3.9068,263.04485181359996
2016-06-17,67.769997,3.8964,264.0590163108
2016-06-20,69.599998,3.8794,270.0062322412
2016-06-21,70.269997,3.8396,269.8086804812
2016-06-22,70.089996,3.8384,269.0334406464
2016-06-23,71.110001,3.8231,271.8606448231
2016-06-24,67.110001,3.778,253.541583778
2016-06-27,65.199997,3.7466,244.2783087602
2016-06-28,66.400002,3.7331,247.8778474662
2016-06-29,67.720001,3.6574,247.67913165739998
2016-06-30,67.160004,3.602,241.91033440799998
2016-07-01,67.400002,3.5923,242.1210271846
2016-07-04,67.260002,3.5484,238.6653910968
2016-07-05,67.010002,3.6649,245.58495632979998
2016-07-06,66.699997,3.6496,243.4283090512
2016-07-07,67.400002,3.6921,248.8475473842
2016-07-08,69.370003,3.7197,258.0356001591
2016-07-11,70.599998,3.6442,257.2805127116
2016-07-12,70.860001,3.6569,259.1279376569
2016-07-13,70.400002,3.6436,256.50944728720003
2016-07-14,71.32,3.6185,258.07142
2016-07-15,71.190002,3.6078,256.83928921560005
2016-07-18,71.730003,3.6168,259.4330748504
2016-07-19,71.650002,3.597,257.725057194
2016-07-20,75.720001,3.5772,270.86558757719996
2016-07-21,76.669998,3.5848,274.84660883040004
2016-07-22,76.639999,3.6055,276.3255163945
2016-07-25,77.089996,3.5705,275.249830718
2016-07-26,77.709999,3.6072,280.3155083928
2016-07-27,78.199997,3.5926,280.9413092222
2016-07-28,78.25,3.608,282.326
2016-07-29,78.410004,3.6377,285.2320715508
2016-08-01,78.410004,3.6276,284.4401305104
2016-08-02,77.050003,3.6381,280.3156159143
2016-08-03,77.139999,3.6509,281.6304223491
2016-08-04,77.199997,3.6065,278.4217891805
2016-08-05,77.650002,3.5475,275.463382095
2016-08-08,77.43,3.5297,273.30467100000004
2016-08-09,78.839996,3.5121,276.8939499516
2016-08-10,78.650002,3.4938,274.7873769876
2016-08-11,78.919998,3.4953,275.8490690094
2016-08-12,78.559998,3.496,274.645753008
2016-08-15,78.769997,3.5595,280.3818043215
2016-08-16,77.989998,3.558,277.488412884
2016-08-17,77.699997,3.6075,280.3027391775
2016-08-18,77.68,3.619,281.12392000000006
2016-08-19,78.010002,3.6724,286.4839313448
2016-08-22,77.309998,3.6237,280.1482397526
2016-08-23,77.779999,3.6178,281.3924803822
2016-08-24,77.860001,3.654,284.500443654
2016-08-25,77.5,3.6277,281.14675
2016-08-26,78.080002,3.6402,284.22682328039997
2016-08-29,77.849998,3.6513,284.2536976974
2016-08-30,79.68,3.6117,287.780256
2016-08-31,78.760002,3.6061,284.0164432122
2016-09-01,78.800003,3.597,283.443610791
2016-09-02,80.400002,3.6408,292.7203272816
2016-09-05,80.699997,3.6292,292.8764291124
2016-09-06,80.360001,3.6403,292.53451164029997
2016-09-07,80.660004,3.594,289.892054376
2016-09-08,80.050003,3.5838,286.8832007514
2016-09-09,78.849998,3.6203,285.4606477594
2016-09-12,78.379997,3.6539,286.3926710383
2016-09-13,78.230003,3.6471,285.3126439413
2016-09-14,78.540001,3.7159,291.8467897159
2016-09-15,78.809998,3.7582,296.18373448359995
2016-09-16,77.809998,3.7081,288.52725358379996
2016-09-19,79.050003,3.6376,287.5522909128
2016-09-20,79.769997,3.6542,291.4955230374
2016-09-21,80.190002,3.6286,290.97744125720004
2016-09-22,82.360001,3.5899,295.6641675899
2016-09-23,81.629997,3.6028,294.0965531916
2016-09-26,80.459999,3.5902,288.8674884098
2016-09-27,80.849998,3.6426,294.5042027148
2016-09-28,81.360001,3.6236,294.8160996236
2016-09-29,80.739998,3.6097,291.4471707806
2016-09-30,80.919998,3.6541,295.6897646918
2016-10-04,81.470001,3.5942,292.81947759419995
2016-10-05,81.279999,3.6483,296.5338203517
2016-10-06,81.089996,3.6036,292.2159095856
2016-10-07,80.129997,3.5932,287.92310522040003
2016-10-10,80.82,3.6041,291.28336199999995
2016-10-11,80.410004,3.5637,286.55713125479997
2016-10-12,79.139999,3.5325,279.5620464675
2016-10-13,78.599998,3.5225,276.868492955
2016-10-14,78.959999,3.5075,276.9521964925
2016-10-17,78.57,3.5137,276.07140899999996
2016-10-18,79.870003,3.5258,281.6056565774
2016-10-19,79.470001,3.4931,277.5966604931
2016-10-20,79.309998,3.4714,275.31672705719996
2016-10-21,81.980003,3.4277,281.0028562831
2016-10-24,81.43,3.4255,278.938465
2016-10-25,81.07,3.3946,275.200222
2016-10-26,80.82,3.3837,273.47063399999996
2016-10-27,80.699997,3.4221,276.1634597337
2016-10-28,80.660004,3.447,278.035033788
2016-10-31,80.239998,3.5187,282.3404809626
2016-11-01,78.519997,3.5061,275.2989614817
2016-11-02,77.5,3.5749,277.05475
2016-11-03,76.690002,3.6063,276.56715421260003
2016-11-04,77.099998,3.6142,278.6548127716
2016-11-07,78.300003,3.601,281.958310803
2016-11-08,78.510002,3.5334,277.4072410668
2016-11-09,78.529999,3.4888,273.9754605112
