Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,4.2891,4.2891,4.2891,4.2891,4.2891,0.0
2016-01-04,4.296,4.4274,4.296,4.2891,4.2891,0.0
2016-01-05,4.3694,4.3765,4.294,4.371,4.371,0.0
2016-01-06,4.3285,4.3486,4.2966,4.3301,4.3301,0.0
2016-01-07,4.3341,4.417,4.332,4.3322,4.3322,0.0
2016-01-08,4.4143,4.4143,4.3328,4.4145,4.4145,0.0
2016-01-11,4.3954,4.4014,4.3505,4.3626,4.3626,0.0
2016-01-12,4.3986,4.4151,4.3508,4.3967,4.3967,0.0
2016-01-13,4.3644,4.3659,4.2988,4.3641,4.3641,0.0
2016-01-14,4.3709,4.4152,4.3243,4.3693,4.3693,0.0
2016-01-15,4.3504,4.4508,4.3487,4.3488,4.3488,0.0
2016-01-18,4.3697,4.413,4.3697,4.3697,4.3697,0.0
2016-01-19,4.4139,4.4217,4.3443,4.4142,4.4142,0.0
2016-01-20,4.4291,4.4817,4.4291,4.4275,4.4275,0.0
2016-01-21,4.4591,4.5444,4.4526,4.4607,4.4607,0.0
2016-01-22,4.5106,4.5106,4.4322,4.5105,4.5105,0.0
2016-01-25,4.4177,4.4363,4.4177,4.4406,4.4406,0.0
2016-01-26,4.4362,4.4592,4.3985,4.4349,4.4349,0.0
2016-01-27,4.4207,4.4262,4.3781,4.4195,4.4195,0.0
2016-01-28,4.4775,4.4922,4.3998,4.4778,4.4778,0.0
2016-01-29,4.4476,4.4664,4.3364,4.4469,4.4469,0.0
2016-02-01,4.3293,4.4312,4.3069,4.4312,4.4312,0.0
2016-02-02,4.3164,4.3857,4.3069,4.3149,4.3149,0.0
2016-02-03,4.3509,4.3944,4.3067,4.352,4.352,0.0
2016-02-04,4.3185,4.3541,4.2864,4.3166,4.3166,0.0
2016-02-05,4.354,4.3919,4.3223,4.3522,4.3522,0.0
2016-02-08,4.3404,4.3594,4.3115,4.3511,4.3511,0.0
2016-02-09,4.3574,4.3975,4.3479,4.3543,4.3543,0.0
2016-02-10,4.3827,4.4074,4.3494,4.3812,4.3812,0.0
2016-02-11,4.4307,4.5118,4.4267,4.4291,4.4291,0.0
2016-02-12,4.5139,4.5188,4.4611,4.512,4.512,0.0
2016-02-15,4.5028,4.5028,4.4401,4.4662,4.4662,0.0
2016-02-16,4.466,4.5254,4.4318,4.4644,4.4644,0.0
2016-02-17,4.5283,4.5436,4.4261,4.5283,4.5283,0.0
2016-02-18,4.428,4.4683,4.4151,4.4268,4.4268,0.0
2016-02-19,4.4694,4.5102,4.4585,4.4709,4.4709,0.0
2016-02-22,4.4736,4.4736,4.3425,4.4736,4.4736,0.0
2016-02-23,4.35,4.385,4.3277,4.3483,4.3483,0.0
2016-02-24,4.3584,4.4075,4.3307,4.3579,4.3579,0.0
2016-02-25,4.3542,4.364,4.3074,4.3558,4.3558,0.0
2016-02-26,4.358,4.3745,4.311,4.3568,4.3568,0.0
2016-02-29,4.3624,4.3766,4.2976,4.3335,4.3335,0.0
2016-03-01,4.3667,4.3712,4.3131,4.3684,4.3684,0.0
2016-03-02,4.2667,4.2731,4.2142,4.2656,4.2656,0.0
2016-03-03,4.2274,4.2296,4.18,4.2269,4.2269,0.0
2016-03-04,4.1545,4.171,3.9854,4.156,4.156,0.0
2016-03-07,4.1483,4.1483,4.094,4.1483,4.1483,0.0
2016-03-08,4.166,4.1933,4.1396,4.1653,4.1653,0.0
2016-03-09,4.1292,4.1295,4.0405,4.1276,4.1276,0.0
2016-03-10,4.0417,4.0997,3.9439,4.04,4.04,0.0
2016-03-11,4.041,4.0653,3.9948,4.0395,4.0395,0.0
2016-03-14,3.9912,4.0395,3.97,3.9814,3.9814,0.0
2016-03-15,4.0576,4.167,4.0507,4.0591,4.0591,0.0
2016-03-16,4.1779,4.2572,4.1684,4.1786,4.1786,0.0
2016-03-17,4.1935,4.2362,4.1004,4.1917,4.1917,0.0
2016-03-18,4.0955,4.1355,4.0674,4.097,4.097,0.0
2016-03-21,4.1015,4.1076,4.0554,4.0809,4.0809,0.0
2016-03-22,4.0576,4.0943,4.0245,4.0593,4.0593,0.0
2016-03-23,4.013,4.1048,3.9972,4.0155,4.0155,0.0
2016-03-24,4.1133,4.1458,4.0982,4.1143,4.1143,0.0
2016-03-25,4.0769,4.1126,4.0769,4.1126,4.1126,0.0
2016-03-28,4.0769,4.0769,4.0769,4.1126,4.1126,0.0
2016-03-29,4.0769,4.1172,4.0369,4.1126,4.1126,0.0
2016-03-30,4.103,4.131,4.0743,4.1033,4.1033,0.0
2016-03-31,4.0802,4.1328,4.0243,4.0764,4.0764,0.0
2016-04-01,4.0817,4.1262,4.0255,4.0809,4.0809,0.0
2016-04-04,4.0457,4.1016,4.0137,4.0457,4.0457,0.0
2016-04-05,4.1207,4.1811,4.0907,4.1191,4.1191,0.0
2016-04-06,4.182,4.2034,4.1619,4.182,4.182,0.0
2016-04-07,4.1452,4.2174,4.1164,4.1468,4.1468,0.0
2016-04-08,4.1858,4.187,4.1218,4.1877,4.1877,0.0
2016-04-11,4.0873,4.1562,4.0063,4.0873,4.0873,0.0
2016-04-12,3.9803,4.0511,3.9521,3.9818,3.9818,0.0
2016-04-13,3.9663,4.0108,3.9372,3.9646,3.9646,0.0
2016-04-14,3.9382,3.972,3.9258,3.9398,3.9398,0.0
2016-04-15,3.9105,3.9981,3.8903,3.9121,3.9121,0.0
2016-04-18,3.9814,4.0753,3.9313,3.9814,3.9814,0.0
2016-04-19,4.0819,4.0967,4.0217,4.0819,4.0819,0.0
2016-04-20,4.0035,4.0493,3.9838,4.0044,4.0044,0.0
2016-04-21,3.9836,4.0195,3.9617,3.9836,3.9836,0.0
2016-04-22,3.9792,4.0436,3.9725,3.9796,3.9796,0.0
2016-04-25,3.9987,4.0158,3.9776,3.9987,3.9987,0.0
2016-04-26,3.9994,4.0117,3.9838,4.0009,4.0009,0.0
2016-04-27,3.9781,4.007,3.9672,3.9766,3.9766,0.0
2016-04-28,3.987,4.0032,3.9366,3.9886,3.9886,0.0
2016-04-29,3.953,3.9868,3.9171,3.9513,3.9513,0.0
2016-05-02,3.9488,4.0343,3.9175,3.9297,3.9297,0.0
2016-05-03,4.0293,4.1176,4.0288,4.0293,4.0293,0.0
2016-05-04,4.0898,4.1123,4.052,4.089,4.089,0.0
2016-05-05,4.0736,4.0748,4.0057,4.0744,4.0744,0.0
2016-05-06,4.0293,4.0765,4.0104,4.0293,4.0293,0.0
2016-05-09,3.9902,4.1785,3.9561,3.9902,3.9902,0.0
2016-05-10,4.0001,4.004,3.9474,4.0001,4.0001,0.0
2016-05-11,3.9482,3.9686,3.9299,3.9482,3.9482,0.0
2016-05-12,3.9404,3.9878,3.902,3.9388,3.9388,0.0
2016-05-13,3.955,3.973,3.9229,3.955,3.955,0.0
2016-05-16,3.9918,3.9961,3.9596,3.9918,3.9918,0.0
2016-05-17,3.9554,3.9923,3.9363,3.9538,3.9538,0.0
2016-05-18,3.9363,4.0004,3.9239,3.9444,3.9444,0.0
2016-05-19,3.9925,4.0491,3.9575,3.9925,3.9925,0.0
2016-05-20,3.9575,3.9974,3.9575,3.9893,3.9893,0.0
2016-05-23,3.9694,3.9996,3.9345,3.9924,3.9924,0.0
2016-05-24,4.0007,4.0049,3.9477,3.9989,3.9989,0.0
2016-05-25,3.9645,4.038,3.9512,3.9724,3.9724,0.0
2016-05-26,3.9924,4.013,3.9809,3.9909,3.9909,0.0
2016-05-27,3.9809,4.0414,3.9809,4.0091,4.0091,0.0
2016-05-30,3.9783,4.0241,3.9783,4.0102,4.0102,0.0
2016-05-31,3.9767,4.0168,3.9629,3.9766,3.9766,0.0
2016-06-01,3.9909,4.056,3.9767,3.9894,3.9894,0.0
2016-06-02,4.0184,4.0306,3.9911,4.0168,4.0168,0.0
2016-06-03,3.9918,4.0193,3.9808,3.9918,3.9918,0.0
2016-06-06,4.0061,4.0061,3.9701,4.0061,4.0061,0.0
2016-06-07,3.9591,3.9843,3.9168,3.9591,3.9591,0.0
2016-06-08,3.9048,3.9121,3.8423,3.9008,3.9008,0.0
